01000	PRIM TB COMPLEX-UNSPEC
01001	PRIM TB COMPLEX-NO EXAM
01002	PRIM TB COMPLEX-EXM UNKN
01003	PRIM TB COMPLEX-MICRO DX
01004	PRIM TB COMPLEX-CULT DX
01005	PRIM TB COMPLEX-HISTO DX
01006	PRIM TB COMPLEX-OTH TEST
01010	PRIM TB PLEURISY-UNSPEC
01011	PRIM TB PLEURISY-NO EXAM
01012	PRIM TB PLEUR-EXAM UNKN
01013	PRIM TB PLEURIS-MICRO DX
01014	PRIM TB PLEURISY-CULT DX
01015	PRIM TB PLEURIS-HISTO DX
01016	PRIM TB PLEURIS-OTH TEST
01080	PRIM PROG TB NEC-UNSPEC
01081	PRIM PROG TB NEC-NO EXAM
01082	PRIM PR TB NEC-EXAM UNKN
01083	PRIM PRG TB NEC-MICRO DX
01084	PRIM PROG TB NEC-CULT DX
01085	PRIM PRG TB NEC-HISTO DX
01086	PRIM PRG TB NEC-OTH TEST
01090	PRIMARY TB NOS-UNSPEC
01091	PRIMARY TB NOS-NO EXAM
01092	PRIMARY TB NOS-EXAM UNKN
01093	PRIMARY TB NOS-MICRO DX
01094	PRIMARY TB NOS-CULT DX
01095	PRIMARY TB NOS-HISTO DX
01096	PRIMARY TB NOS-OTH TEST
01100	TB LUNG INFILTR-UNSPEC
01101	TB LUNG INFILTR-NO EXAM
01102	TB LUNG INFILTR-EXM UNKN
01103	TB LUNG INFILTR-MICRO DX
01104	TB LUNG INFILTR-CULT DX
01105	TB LUNG INFILTR-HISTO DX
01106	TB LUNG INFILTR-OTH TEST
01110	TB LUNG NODULAR-UNSPEC
01111	TB LUNG NODULAR-NO EXAM
01112	TB LUNG NODUL-EXAM UNKN
01113	TB LUNG NODULAR-MICRO DX
01114	TB LUNG NODULAR-CULT DX
01115	TB LUNG NODULAR-HISTO DX
01116	TB LUNG NODULAR-OTH TEST
01120	TB LUNG W CAVITY-UNSPEC
01121	TB LUNG W CAVITY-NO EXAM
01122	TB LUNG CAVITY-EXAM UNKN
01123	TB LUNG W CAVIT-MICRO DX
01124	TB LUNG W CAVITY-CULT DX
01125	TB LUNG W CAVIT-HISTO DX
01126	TB LUNG W CAVIT-OTH TEST
01130	TB OF BRONCHUS-UNSPEC
01131	TB OF BRONCHUS-NO EXAM
01132	TB OF BRONCHUS-EXAM UNKN
